Fecha;Temp Media (ºC);Temp Max (ºC);Hora Temp Max;Temp Mínima (ºC);Hora Temp Min;Humedad Media (%);Humedad Max (%);Hora Hum Max;Humedad Min (%);Hora Hum Mín;Velviento (m/s);DirViento (º);VelVientoMax (m/s);Hora VelMax;Dir viento Vel Max (º);Radiación (MJ/m2);Precipitación (mm);PePMon;EtPMon
01/01/2004;9,39;16,28;14:10;1,56;3:10;58,1;82,9;3:50;29,79;13:10;1,74;293,4;5,35;14:24;214,2;11,08;0;0;1,63
02/01/2004;9,47;14,96;12:50;5,64;4:10;55,13;85,8;4:10;25,23;14:40;1,82;340,2;7,13;21:43;332,2;9,59;0;0;1,69
03/01/2004;6,55;10,82;14:10;-1,18;0:00;51,63;78;22:50;34,64;14:10;2,15;8,3;8,18;4:27;314,2;10,99;0;0;1,45
04/01/2004;6,76;13,82;12:50;-2,65;2:20;64;83,9;22:20;43,28;14:50;1,68;11,92;5,3;10:35;56,33;11,16;0;0;1,3
05/01/2004;5,97;14,76;13:20;0,55;4:00;72;88,9;20:50;40,13;12:50;1,66;65,82;4,18;15:38;158,9;11,68;0;0;1,41
06/01/2004;6,02;16,75;13:40;-0,18;6:20;62,67;88,2;4:00;30,32;15:40;1,52;47,43;3,64;23:50;60,73;11,95;0;0;1,61
07/01/2004;6,53;15,1;15:40;0,22;5:20;57,52;75,1;22:50;32,68;15:50;1,34;26,42;4,05;23:12;318,4;8,4;0;0;1,45
08/01/2004;10,48;17,22;13:20;2,37;7:20;60,64;84;7:30;35,82;13:20;1,68;316,7;5,91;10:40;226,3;10,95;0;0;1,61
09/01/2004;11,4;15,98;13:30;5,97;0:00;70,3;86,1;7:40;51,34;14:20;1,42;320,1;5,48;15:50;318,9;5,06;0;0;1,25
10/01/2004;11,33;22,01;14:10;4,44;4:00;67,93;89,4;5:00;32,25;14:10;1,36;22,41;3,86;21:05;26,62;11,84;0;0;1,8
11/01/2004;11,32;19,69;11:50;5,84;6:50;63,93;81,9;22:00;33,67;11:50;1,5;36,46;4,91;13:44;20;11,25;0;0;1,77
12/01/2004;10,85;21,14;13:30;4,5;3:50;66,03;86,2;3:50;30,23;14:00;1,35;56,06;4,3;21:54;42,75;12,18;0;0;1,8
13/01/2004;12,32;23,21;14:20;5,44;7:50;43,81;67,82;0:20;14,14;15:20;1,63;3,98;5,4;13:57;233,2;12,29;0;0;2,51
14/01/2004;10,37;17,55;14:40;4,03;7:20;57,61;80,5;7:20;35,82;15:10;2,02;335;6,03;17:14;321;12,33;0;0;1,92
15/01/2004;8,95;12,78;11:50;6,17;23:00;71;91,9;22:00;50,56;11:40;1,28;68,7;4,22;2:40;40,74;7,86;0;0;1,11
16/01/2004;8,94;16,28;12:40;4,03;20:20;78,6;91,8;4:40;47,83;13:20;1,23;55,78;4,82;15:28;137,2;10,52;0;0;1,27
17/01/2004;9;17,62;14:50;2,03;7:20;62;86,5;3:50;30,72;14:20;1,51;338,7;4,9;13:00;244,5;12,4;0;0;1,72
18/01/2004;6,81;9,56;12:40;4,3;0:00;43,98;71,2;0:10;27,88;15:10;2,98;335,9;9,87;14:19;48,73;11,39;0;0;2,02
19/01/2004;2,95;8,28;14:10;-2,53;7:00;42,2;67,55;7:10;23,57;15:10;2,05;14,4;7,07;2:07;58,24;12,8;0;0;1,61
20/01/2004;3,73;12,01;14:10;-3,86;5:10;39,45;60,11;23:50;16,17;13:50;1,27;37,09;4,57;11:35;252,3;11,87;0;0;1,51
21/01/2004;6,45;16,41;14:40;-0,92;4:30;51,72;73,6;22:20;24,89;14:00;1,13;75,6;4,18;12:02;207,5;12,62;0;0;1,56
22/01/2004;6,89;17,29;14:20;-0,32;5:40;56,81;82,4;5:40;25,22;14:00;1,4;48,52;3,74;23:16;45,84;13;0;0;1,81
23/01/2004;10,64;20,22;14:00;0,96;3:20;45,09;66,12;3:20;21,79;14:30;1,68;343,7;5,02;12:45;231,8;12,72;0;0;2,3
24/01/2004;13,38;20,42;15:10;7,98;22:30;55,85;74,9;22:00;37,09;13:50;1,52;352,2;4,38;15:13;345,5;11,23;0;0;1,98
25/01/2004;10,45;18,61;13:50;2,63;7:20;66,21;89,8;4:00;34,75;11:20;1,21;57,08;4,66;22:43;284,8;13,28;0;0;1,64
