Fecha;Temp Media (ºC);Temp Max (ºC);Hora Temp Max;Temp Mínima (ºC);Hora Temp Min;Humedad Media (%);Humedad Max (%);Hora Hum Max;Humedad Min (%);Hora Hum Mín;Velviento (m/s);DirViento (º);VelVientoMax (m/s);Hora VelMax;Dir viento Vel Max (º);Radiación (MJ/m2);Precipitación (mm);PePMon;EtPMon
01/01/2000;5,96;12,66;13:09;0,96;7:06;75,6;93,5;20:33;43,65;12:05;1,23;93;4,18;14:54;221,7;10,49;0;0;1,04
02/01/2000;5,79;13,45;13:37;-0,23;4:23;84,6;96,8;4:30;57,51;14:27;0,72;73;2,85;14:24;352,3;10,47;0;0;0,76
03/01/2000;7,04;11,53;13:45;3,03;21:23;82,9;96,8;22:11;64,14;14:29;1,11;56,08;4,09;13:35;6,44;7,81;0,2;0;0,8
04/01/2000;7,37;13,38;13:20;3,56;1:09;80,3;96,9;23:15;59,67;12:09;1,1;67,11;3,12;6:39;37,57;10,17;0;0;0,9
05/01/2000;6,78;13,44;14:10;2,22;6:14;85,1;98;0:53;56,78;14:12;1,2;79,4;4,69;15:06;196,1;10,56;0,2;0;0,95
06/01/2000;7,37;14,45;15:10;3,03;7:39;78,9;96,1;3:43;51,11;15:09;1,01;58,16;3,18;23:28;71,3;10,63;0;0;0,99
07/01/2000;6,05;14,05;14:25;-0,3;5:37;71,1;94,3;21:57;45,64;14:55;1,15;54,02;3,6;8:08;37,01;11,1;0;0;1,08
08/01/2000;4,91;13,06;12:48;-1,36;6:51;80,6;97;0:13;48,59;12:13;0,8;72,4;3,47;8:32;25,15;9,22;0,2;0;0,87
09/01/2000;5,72;14,58;13:56;-0,83;7:09;75,7;99;6:05;31,84;12:40;0,85;77,9;2,73;14:48;16,3;10,59;0,2;0;1,05
10/01/2000;6,31;8,54;13:45;2,76;0:52;88,2;96,4;23:57;74,9;1:33;1,7;35,52;6,45;15:44;34,23;2,35;8,8;4,75;0,7
11/01/2000;7,01;8,55;16:07;5,82;2:14;89,4;96,3;0:01;80,3;16:10;1,48;40,97;5,54;16:05;29,39;1,8;6;2,64;0,63
12/01/2000;7,41;13,59;15:59;2,56;23:42;81,5;97,5;23:46;50,25;16:02;0,67;86,9;3,62;11:11;8,25;7,36;0;0;0,85
