Fecha;Temp Media (ºC);Temp Max (ºC);Hora Temp Max;Temp Mínima (ºC);Hora Temp Min;Humedad Media (%);Humedad Max (%);Hora Hum Max;Humedad Min (%);Hora Hum Mín;Velviento (m/s);DirViento (º);VelVientoMax (m/s);Hora VelMax;Dir viento Vel Max (º);Radiación (MJ/m2);Precipitación (mm);PePMon;EtPMon
01/01/2004;12,19;17,99;14:00;5,83;4:00;57,31;79,4;18:10;28,93;14:00;1,99;275,1;7,03;23:03;305,3;11,13;0;0;1,95
02/01/2004;12,93;17,17;14:40;6,5;7:30;48,7;84;7:50;29,97;18:50;2,31;344,8;11,98;20:17;327,2;10,64;0;0;2
03/01/2004;10,5;14,39;13:20;3,23;23:50;43,82;77,1;23:30;27,86;13:30;2,61;335,5;10,12;1:20;331,4;11,68;0;0;2
04/01/2004;9,11;17,81;14:50;2,56;5:50;60,28;76,4;21:00;35,03;14:40;1,48;268;5,07;15:23;77,1;10,2;0;0;1,62
05/01/2004;8,51;16,92;14:30;3,44;7:30;70,3;89,1;21:50;41,85;14:10;1,64;264,7;3,92;13:16;269,8;11,77;0;0;1,52
06/01/2004;7,5;16,3;13:30;1,83;6:50;73,7;85,7;0:10;36,09;13:10;1,54;276;3,57;9:42;259,3;11,88;0;0;1,53
07/01/2004;7,94;15;16:10;3,04;7:30;63,69;84,3;19:50;39,79;14:50;1,61;281,2;4,52;20:21;307,4;8,63;0;0;1,47
08/01/2004;11,95;20,25;14:00;5,24;5:10;61,3;76,8;7:30;39,16;13:50;1,96;279,5;5,5;19:52;317,3;11,08;0;0;2,04
09/01/2004;15,03;19,88;13:40;9,5;4:30;59,25;75,6;7:40;40,32;15:20;2,52;285,8;9,35;15:39;336,3;6,68;0;0;2,31
10/01/2004;14,03;22,3;15:30;8,57;7:00;66,43;82,3;23:50;43,49;14:30;1,33;278,5;3,91;6:33;273,3;11,53;0;0;1,7
11/01/2004;12,9;21,17;13:50;7,7;7:20;67,18;81,9;22:00;38,68;13:40;1,4;274,7;3,88;20:18;293,9;10,79;0;0;1,76
12/01/2004;12,79;20,57;14:00;7,24;7:10;68,83;81,8;3:10;43,23;14:00;1,72;270,2;3,95;10:12;249;12,22;0,2;0;1,86
13/01/2004;13,04;21,5;13:20;7,57;7:40;58,91;83,5;18:20;32,8;20:30;1,8;281,6;6,7;20:47;290,3;12,3;0;0;2,16
14/01/2004;11,5;19,38;15:20;1,56;6:30;61,26;89,2;6:40;37,15;14:30;1,18;242,3;4,2;21:47;267,3;12,31;0;0;1,48
15/01/2004;11,2;15,85;12:40;7,97;3:50;69,62;88,9;22:40;45,62;11:50;1,15;298;3,33;11:58;65,54;8,26;0;0;1,26
16/01/2004;10,73;16,97;13:10;6,7;7:40;80,4;90,8;20:10;58,31;14:40;1,2;273,7;3,72;15:29;141,5;11,43;0;0;1,22
17/01/2004;11,74;19,5;14:20;5,58;6:30;64,75;88,4;19:00;28,45;14:40;1,7;280,7;10,87;23:59;308,8;12,32;0;0;2,01
18/01/2004;11,11;13,19;12:40;8,1;23:40;35,65;56,19;1:20;23,99;15:20;4,29;339;13,99;14:46;324,4;12,9;0;0;3,18
